"Molecule_CanonicalSmiles","DRUGBANK_ID","COMMON_NAME","Molecule_InChIKey","Pattern","Target"
"CC1COc2c(C3(N)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23","DB11774","Pazufloxacin","XAGMUUZPGZWTRP-UHFFFAOYSA-N","[#6]1:[#6]:[#7]:[#6]2:[#6](:[#6]:1):[#6]:[#6]:[#6]:[#6]:2, [#6]1:[#6]:[#6]:[#6]2:[#6](:[#7]:1):[#6]:[#6]:[#6]:[#6]:2","P11166"
"CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23","DB01137","Levofloxacin","GSDSWSVVBLHKDQ-UHFFFAOYSA-N","[#6]1:[#6]:[#7]:[#6]2:[#6](:[#6]:1):[#6]:[#6]:[#6]:[#6]:2, [#6]1:[#6]:[#6]:[#6]2:[#6](:[#7]:1):[#6]:[#6]:[#6]:[#6]:2","P11166"
"CC1NCc2cc(-c3ccc4c(=O)c(C(=O)O)cn(C5CC5)c4c3OC(F)F)ccc21","DB06160","Garenoxacin","NJDRXTDGYFKORP-UHFFFAOYSA-N","[#6]1:[#6]:[#7]:[#6]2:[#6](:[#6]:1):[#6]:[#6]:[#6]:[#6]:2, [#6]1:[#6]:[#6]:[#6]2:[#6](:[#7]:1):[#6]:[#6]:[#6]:[#6]:2","P11166"
"CCC(C(=O)O)c1ccc(N2Cc3ccccc3C2=O)cc1","DB12545","Indobufen","AYDXAULLCROVIT-UHFFFAOYSA-N","[#6]1:[#6]:[#6]:[#6](:[#6]:[#6]:1)-[#6](=[#8])-[#7]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1","P11166"
"CCC(CC)n1ccc2c3c(N)nc(N)nc3ccc21","DB07862","7-(1-ETHYL-PROPYL)-7H-PYRROLO-[3,2-F]QUINAZOLINE-1,3-DIAMINE","GCPJCLJGTVTGRF-UHFFFAOYSA-N","[#6]1:[#6]:[#6]:[#6]2:[#7]:[#6]:[#7]:[#6]:[#6]:2:[#6]:1","P11166"
"CCC(NC(=O)c1c(NS(C)(=O)=O)c(-c2ccccc2)nc2ccccc12)c1ccccc1","DB11692","Pavinetant","QYTBBBAHNIWFOD-UHFFFAOYSA-N","[#6]1:[#6]:[#7]:[#6]2:[#6](:[#6]:1):[#6]:[#6]:[#6]:[#6]:2, [#6]1:[#6]:[#6]:[#6]2:[#6](:[#7]:1):[#6]:[#6]:[#6]:[#6]:2","P11166"
"CCC(NC(=O)c1c(O)c(-c2ccccc2)nc2ccccc12)c1ccccc1","DB06429","Talnetant","BIAVGWDGIJKWRM-UHFFFAOYSA-N","[#6]1:[#6]:[#7]:[#6]2:[#6](:[#6]:1):[#6]:[#6]:[#6]:[#6]:2, [#6]1:[#6]:[#6]:[#6]2:[#6](:[#7]:1):[#6]:[#6]:[#6]:[#6]:2","P11166"
"CCC(NC(C)C)C(O)c1ccc(O)c2[nH]c(=O)ccc12","DB01366","Procaterol","FKNXQNWAXFXVNW-UHFFFAOYSA-N","[#6]1:[#6]:[#7]:[#6]2:[#6](:[#6]:1):[#6]:[#6]:[#6]:[#6]:2, [#6]1:[#6]:[#6]:[#6]2:[#6](:[#7]:1):[#6]:[#6]:[#6]:[#6]:2","P11166"
"CCC(Nc1ncnc2[nH]cnc12)c1nc2cccc(F)c2c(=O)n1-c1ccccc1","DB09054","Idelalisib","IFSDAJWBUCMOAH-UHFFFAOYSA-N","[#6]1:[#6]:[#6]:[#6]2:[#7]:[#6]:[#7]:[#6]:[#6]:2:[#6]:1","P11166"
"CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1cc(F)c(C)c3c1c2C(N)CC3","DB12185","Exatecan","ZVYVPGLRVWUPMP-UHFFFAOYSA-N","[#6]1:[#6]:[#7]:[#6]2:[#6](:[#6]:1):[#6]:[#6]:[#6]:[#6]:2, [#6]1:[#6]:[#6]:[#6]2:[#6](:[#7]:1):[#6]:[#6]:[#6]:[#6]:2","P11166"
"CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1cc3c(cc1c2CN1CCN(C)CC1)OCCO3","DB12222","Lurtotecan","RVFGKBWWUQOIOU-UHFFFAOYSA-N","[#6]1:[#6]:[#7]:[#6]2:[#6](:[#6]:1):[#6]:[#6]:[#6]:[#6]:2, [#6]1:[#6]:[#6]:[#6]2:[#6](:[#7]:1):[#6]:[#6]:[#6]:[#6]:2","P11166"
"CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1ccccc1c2C=NOC(C)(C)C","DB06721","Gimatecan","UIVFUQKYVFCEKJ-UHFFFAOYSA-N","[#6]1:[#6]:[#7]:[#6]2:[#6](:[#6]:1):[#6]:[#6]:[#6]:[#6]:2, [#6]1:[#6]:[#6]:[#6]2:[#6](:[#7]:1):[#6]:[#6]:[#6]:[#6]:2","P11166"
"CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1ccccc1c2C=NOCCN","DB12124","Namitecan","IBTISPLPBBHVSU-UHFFFAOYSA-N","[#6]1:[#6]:[#7]:[#6]2:[#6](:[#6]:1):[#6]:[#6]:[#6]:[#6]:2, [#6]1:[#6]:[#6]:[#6]2:[#6](:[#7]:1):[#6]:[#6]:[#6]:[#6]:2","P11166"
"CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1ccccc1c2CCNC(C)C","DB12459","Belotecan","LNHWXBUNXOXMRL-UHFFFAOYSA-N","[#6]1:[#6]:[#7]:[#6]2:[#6](:[#6]:1):[#6]:[#6]:[#6]:[#6]:2, [#6]1:[#6]:[#6]:[#6]2:[#6](:[#7]:1):[#6]:[#6]:[#6]:[#6]:2","P11166"
"CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(CN(C)C)c(O)ccc3nc2-1","DB01030","Topotecan","UCFGDBYHRUNTLO-UHFFFAOYSA-N","[#6]1:[#6]:[#7]:[#6]2:[#6](:[#6]:1):[#6]:[#6]:[#6]:[#6]:2, [#6]1:[#6]:[#6]:[#6]2:[#6](:[#7]:1):[#6]:[#6]:[#6]:[#6]:2","P11166"
"CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(N)cccc3nc2-1","DB12515","9-aminocamptothecin","FUXVKZWTXQUGMW-UHFFFAOYSA-N","[#6]1:[#6]:[#7]:[#6]2:[#6](:[#6]:1):[#6]:[#6]:[#6]:[#6]:2, [#6]1:[#6]:[#6]:[#6]2:[#6](:[#7]:1):[#6]:[#6]:[#6]:[#6]:2","P11166"
"CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c([N+](=O)[O-])cccc3nc2-1","DB06159","Rubitecan","VHXNKPBCCMUMSW-UHFFFAOYSA-N","[#6]1:[#6]:[#7]:[#6]2:[#6](:[#6]:1):[#6]:[#6]:[#6]:[#6]:2, [#6]1:[#6]:[#6]:[#6]2:[#6](:[#7]:1):[#6]:[#6]:[#6]:[#6]:2","P11166"
"CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3cc(O)ccc3nc2-1","DB12385","10-hydroxycamptothecin","HAWSQZCWOQZXHI-UHFFFAOYSA-N","[#6]1:[#6]:[#7]:[#6]2:[#6](:[#6]:1):[#6]:[#6]:[#6]:[#6]:2, [#6]1:[#6]:[#6]:[#6]2:[#6](:[#7]:1):[#6]:[#6]:[#6]:[#6]:2","P11166"
"CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1","DB04690","Camptothecin","VSJKWCGYPAHWDS-UHFFFAOYSA-N","[#6]1:[#6]:[#7]:[#6]2:[#6](:[#6]:1):[#6]:[#6]:[#6]:[#6]:2, [#6]1:[#6]:[#6]:[#6]2:[#6](:[#7]:1):[#6]:[#6]:[#6]:[#6]:2","P11166"
"CCC1=C(CC2NCCc3cc(OC)c(OC)cc32)CC2c3cc(OC)c(OC)cc3CCN2C1","DB13865","Dehydroemetine","XXLZPUYGHQWHRN-UHFFFAOYSA-N","[#6]1=[#6](-[#6]-[#6]2-[#7]-[#6]-[#6]-[#6]3:[#6]:[#6]:[#6]:[#6]:[#6]:3-2)-[#6]-[#6]2-[#6]3:[#6]:[#6]:[#6]:[#6]:[#6]:3-[#6]-[#6]-[#7]-2-[#6]-1","P11166"
"CCC1=CC2Cc3nc4cc(Cl)ccc4c(N)c3C(C1)C2","DB04114","3-Chloro-9-Ethyl-6,7,8,9,10,11-Hexahydro-7,11-Methanocycloocta[B]Quinolin-12-Amine","QTPHSDHUHXUYFE-UHFFFAOYSA-N","[#6]1:[#6]:[#7]:[#6]2:[#6](:[#6]:1):[#6]:[#6]:[#6]:[#6]:2, [#6]1:[#6]:[#6]:[#6]2:[#6](:[#7]:1):[#6]:[#6]:[#6]:[#6]:2","P11166"
"CCC1CC1(NC(=O)C1CC(Oc2cc(-c3csc(NC(C)C)n3)nc3c(Cl)c(OCCN4CCOCC4)ccc23)CN1C(=O)C(NC(=O)OC1CC2CC2C1)C(C)(C)C)C(=O)O","DB12037","Vedroprevir","OTXAMWFYPMNDME-UHFFFAOYSA-N","[#6]1:[#6]:[#7]:[#6]2:[#6](:[#6]:1):[#6]:[#6]:[#6]:[#6]:2, [#6]1:[#6]:[#6]:[#6]2:[#6](:[#7]:1):[#6]:[#6]:[#6]:[#6]:2","P11166"
"CCC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12","DB13718","Hydroquinine","LJOQGZACKSYWCH-UHFFFAOYSA-N","[#6]1:[#6]:[#7]:[#6]2:[#6](:[#6]:1):[#6]:[#6]:[#6]:[#6]:2, [#6]1:[#6]:[#6]:[#6]2:[#6](:[#7]:1):[#6]:[#6]:[#6]:[#6]:2","P11166"
"CCC1CN2CCc3cc(OC)c(OC)cc3C2CC1CC1NCCc2cc(OC)c(OC)cc21","DB13393","Emetine","AUVVAXYIELKVAI-UHFFFAOYSA-N","[#6]1-[#6]-[#7]2-[#6]-[#6]-[#6]3:[#6](-[#6]-2-[#6]-[#6]-1-[#6]-[#6]1-[#7]-[#6]-[#6]-[#6]2:[#6]-1:[#6]:[#6]:[#6]:[#6]:2):[#6]:[#6]:[#6]:[#6]:3","P11166"
"CCC1CNCc2ccc(NC(=O)c3ccc4cc(C(=N)N)ccc4c3)cc21","DB02551","6-[N-(4-Ethyl-1,2,3,4-Tetrahydro-6-Isoquinolinyl)Carbamyl]-2-Naphthalenecarboxamidine","LVNMYQLXKMSQTG-UHFFFAOYSA-N","[#6]1:[#6]:[#6]:[#6](:[#6]:[#6]:1)-[#6](=[#8])-[#7]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1","P11166"
"CCC1OC(=O)C(C)C(=O)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(OCC=Cc2cnc3ccccc3c2)CC(C)C(=O)C(C)C2NC(=O)OC12C","DB06419","Cethromycin","PENDGIOBPJLVBT-UHFFFAOYSA-N","[#6]1:[#6]:[#7]:[#6]2:[#6](:[#6]:1):[#6]:[#6]:[#6]:[#6]:2, [#6]1:[#6]:[#6]:[#6]2:[#6](:[#7]:1):[#6]:[#6]:[#6]:[#6]:2","P11166"
"CCCC(=O)N1CCCN(c2nc(N)c3cc(OC)c(OC)cc3n2)CC1","DB12230","Bunazosin","RHLJLALHBZGAFM-UHFFFAOYSA-N","[#6]1:[#6]:[#6]:[#6]2:[#7]:[#6]:[#7]:[#6]:[#6]:2:[#6]:1","P11166"
"CCCCCCCCCCNCCNC1(C)CC(OC2C(Oc3c4cc5cc3Oc3ccc(cc3Cl)C(O)C3NC(=O)C(NC(=O)C5NC(=O)C(CC(N)=O)NC(=O)C(NC(=O)C(CC(C)C)NC)C(O)c5ccc(c(Cl)c5)O4)c4ccc(O)c(c4)-c4c(cc(O)c(CNCP(=O)(O)O)c4O)C(C(=O)O)NC3=O)OC(CO)C(O)C2O)OC(C)C1O","DB06402","Telavancin","ONUMZHGUFYIKPM-UHFFFAOYSA-N","[#6](-[#7]-[#6](=[#8])-[#6](-[#6]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1)-[#7]-[#6](=[#8])-[#6]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1)-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1","P11166"
"CCCCCCCCCCOc1cc2c(=O)c(C(=O)OCC)c[nH]c2cc1OCC","DB11394","Decoquinate","JHAYEQICABJSTP-UHFFFAOYSA-N","[#6]1:[#6]:[#7]:[#6]2:[#6](:[#6]:1):[#6]:[#6]:[#6]:[#6]:2, [#6]1:[#6]:[#6]:[#6]2:[#6](:[#7]:1):[#6]:[#6]:[#6]:[#6]:2","P11166"
"CCCCCCCCCc1cc(O)c2ccccc2[n+]1[O-]","DB08453","2-Nonyl-4-quinolinol 1-oxide","LMBFBUICIQJLPK-UHFFFAOYSA-N","[#6]1:[#6]:[#7]:[#6]2:[#6](:[#6]:1):[#6]:[#6]:[#6]:[#6]:2, [#6]1:[#6]:[#6]:[#6]2:[#6](:[#7]:1):[#6]:[#6]:[#6]:[#6]:2","P11166"
"CCCCCCCCOc1ccccc1C(=O)Nc1ccc(C(=O)OCC[N+](C)(CC)CC)cc1","DB13500","Otilonium","NQHNLNLJPDMBFN-UHFFFAOYSA-O","[#6]1:[#6]:[#6]:[#6](:[#6]:[#6]:1)-[#6](=[#8])-[#7]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1","P11166"
"CCCCCCCc1cc(O)c2ccccc2[n+]1[O-]","DB07918","2-heptyl-4-hydroxyquinoline N-oxide","NZPACTGCRWDXCJ-UHFFFAOYSA-N","[#6]1:[#6]:[#7]:[#6]2:[#6](:[#6]:1):[#6]:[#6]:[#6]:[#6]:2, [#6]1:[#6]:[#6]:[#6]2:[#6](:[#7]:1):[#6]:[#6]:[#6]:[#6]:2","P11166"
"CCCCCc1ccc(C(=O)Nc2ccc(S(=O)(=O)N(CCN3CCOCC3)C(C(=O)NO)C(C)C)cc2)cc1","DB01630","SC-74020","YJNCFXPJICILOK-UHFFFAOYSA-N","[#6]1:[#6]:[#6]:[#6](:[#6]:[#6]:1)-[#6](=[#8])-[#7]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1","P11166"
"CCCCOc1cc(C(=O)NCCN(CC)CC)c2ccccc2n1","DB00527","Cinchocaine","PUFQVTATUTYEAL-UHFFFAOYSA-N","[#6]1:[#6]:[#7]:[#6]2:[#6](:[#6]:1):[#6]:[#6]:[#6]:[#6]:2, [#6]1:[#6]:[#6]:[#6]2:[#6](:[#7]:1):[#6]:[#6]:[#6]:[#6]:2","P11166"
"CCCCc1cc2c(=O)c(C(=O)OC)c[nH]c2cc1OCc1ccccc1","DB11433","Nequinate","NNOPDLNHPOLRRE-UHFFFAOYSA-N","[#6]1:[#6]:[#7]:[#6]2:[#6](:[#6]:1):[#6]:[#6]:[#6]:[#6]:2, [#6]1:[#6]:[#6]:[#6]2:[#6](:[#7]:1):[#6]:[#6]:[#6]:[#6]:2","P11166"
"CCCS(=O)(=O)N1CCN(Cc2ccc(NC(=O)c3ccc(-c4cc(NC(=O)C5CC5)ccc4OC(F)(F)F)cc3)cc2)CC1","DB12724","AZD-7295","MAQDQJWCSSCURR-UHFFFAOYSA-N","[#6]1:[#6]:[#6]:[#6](:[#6]:[#6]:1)-[#6](=[#8])-[#7]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1","P11166"
"CCCSCc1cc(N)cc2c(=O)[nH]c(N)nc12","DB02599","2,6-Diamino-8-Propylsulfanylmethyl-3h-Quinazoline-4-One","RSKNEWMEOVQZII-UHFFFAOYSA-N","[#6]1:[#6]:[#6]:[#6]2:[#7]:[#6]:[#7]:[#6]:[#6]:2:[#6]:1","P11166"
"CCCc1c(OC2CCCCC2)c2cc(Cl)ccc2[nH]c1=O","DB07867","6-CHLORO-4-(CYCLOHEXYLOXY)-3-PROPYLQUINOLIN-2(1H)-ONE","BNZHKKGOSYAQSW-UHFFFAOYSA-N","[#6]1:[#6]:[#7]:[#6]2:[#6](:[#6]:1):[#6]:[#6]:[#6]:[#6]:2, [#6]1:[#6]:[#6]:[#6]2:[#6](:[#7]:1):[#6]:[#6]:[#6]:[#6]:2","P11166"
"CCCc1c(S(=O)C2CCCCC2)c2cc(Cl)ccc2[nH]c1=O","DB07869","6-Chloro-4-[(R)-cyclohexylsulfinyl]-3-propyl-2(1H)-quinolinone","QRBUGQMJMFAHKS-UHFFFAOYSA-N","[#6]1:[#6]:[#7]:[#6]2:[#6](:[#6]:1):[#6]:[#6]:[#6]:[#6]:2, [#6]1:[#6]:[#6]:[#6]2:[#6](:[#7]:1):[#6]:[#6]:[#6]:[#6]:2","P11166"
"CCCc1c(SC2CCCCC2)c2cc(Cl)ccc2[nH]c1=O","DB07868","6-CHLORO-4-(CYCLOHEXYLSULFANYL)-3-PROPYLQUINOLIN-2(1H)-ONE","CLKFNGKDJYMUPK-UHFFFAOYSA-N","[#6]1:[#6]:[#7]:[#6]2:[#6](:[#6]:1):[#6]:[#6]:[#6]:[#6]:2, [#6]1:[#6]:[#6]:[#6]2:[#6](:[#7]:1):[#6]:[#6]:[#6]:[#6]:2","P11166"
"CCCc1c2oc(C(=O)O)cc(=O)c2cc2c(=O)cc(C(=O)O)n(CC)c12","DB00716","Nedocromil","RQTOOFIXOKYGAN-UHFFFAOYSA-N","[#6]1:[#6]:[#7]:[#6]2:[#6](:[#6]:1):[#6]:[#6]:[#6]:[#6]:2, [#6]1:[#6]:[#6]:[#6]2:[#6](:[#7]:1):[#6]:[#6]:[#6]:[#6]:2","P11166"
"CCCc1ccc(NC(=O)c2ccccc2NCc2ccc(=O)[nH]c2)cc1C(F)(F)F","DB07831","2-{[(6-OXO-1,6-DIHYDROPYRIDIN-3-YL)METHYL]AMINO}-N-[4-PROPYL-3-(TRIFLUOROMETHYL)PHENYL]BENZAMIDE","SHSORWZDEKFFLP-UHFFFAOYSA-N","[#6]1:[#6]:[#6]:[#6](:[#6]:[#6]:1)-[#6](=[#8])-[#7]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1","P11166"
"CCN(C(=O)c1c(O)c2c(Cl)cccc2n(C)c1=O)c1ccccc1","DB06685","Laquinimod","GKWPCEFFIHSJOE-UHFFFAOYSA-N","[#6]1:[#6]:[#7]:[#6]2:[#6](:[#6]:1):[#6]:[#6]:[#6]:[#6]:2, [#6]1:[#6]:[#6]:[#6]2:[#6](:[#7]:1):[#6]:[#6]:[#6]:[#6]:2","P11166"
"CCN(CC)CCCC(C)Nc1c2ccc(Cl)cc2nc2ccc(OC)cc12","DB01103","Quinacrine","GPKJTRJOBQGKQK-UHFFFAOYSA-N","[#6]1:[#6]:[#7]:[#6]2:[#6](:[#6]:1):[#6]:[#6]:[#6]:[#6]:2, [#6]1:[#6]:[#6]:[#6]2:[#6](:[#7]:1):[#6]:[#6]:[#6]:[#6]:2, [#6]-,:[#6]-,:[#6]-[#7]-[#6]1:[#6]2:[#6]:[#6]:[#6]:[#6]:[#6]:2:[#7]:[#6]2:[#6]:1:[#6]:[#6]:[#6]:[#6]:2","P11166"
"CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12","DB00608","Chloroquine","WHTVZRBIWZFKQO-UHFFFAOYSA-N","[#6]1:[#6]:[#7]:[#6]2:[#6](:[#6]:1):[#6]:[#6]:[#6]:[#6]:2, [#6]1:[#6]:[#6]:[#6]2:[#6](:[#7]:1):[#6]:[#6]:[#6]:[#6]:2","P11166"
"CCN(CC)CCCCCCNc1cc(OC)cc2c(C)ccnc12","DB04909","Sitamaquine","RVAKDGYPIVSYEU-UHFFFAOYSA-N","[#6]1:[#6]:[#7]:[#6]2:[#6](:[#6]:1):[#6]:[#6]:[#6]:[#6]:2, [#6]1:[#6]:[#6]:[#6]2:[#6](:[#7]:1):[#6]:[#6]:[#6]:[#6]:2","P11166"
"CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O","DB00613","Amodiaquine","OVCDSSHSILBFBN-UHFFFAOYSA-N","[#6]1:[#6]:[#7]:[#6]2:[#6](:[#6]:1):[#6]:[#6]:[#6]:[#6]:2, [#6]1:[#6]:[#6]:[#6]2:[#6](:[#7]:1):[#6]:[#6]:[#6]:[#6]:2","P11166"
"CCN(CC)S(=O)(=O)c1cc(C(=O)Nc2ccccc2C(=O)O)ccc1Br","DB07429","2-({[4-bromo-3-(diethylsulfamoyl)phenyl]carbonyl}amino)benzoic acid","VNOMZKMKBNFCMC-UHFFFAOYSA-N","[#6]1:[#6]:[#6]:[#6](:[#6]:[#6]:1)-[#6](=[#8])-[#7]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1","P11166"
"CCN(CCCOc1ccc2c(Nc3cc(CC(=O)Nc4cccc(F)c4)n[nH]3)ncnc2c1)CCOP(=O)(O)O","DB11747","Barasertib","GBJVVSCPOBPEIT-UHFFFAOYSA-N","[#6]1:[#6]:[#6]:[#6]2:[#7]:[#6]:[#7]:[#6]:[#6]:2:[#6]:1","P11166"
"CCN(CCO)CCCC(C)Nc1ccnc2cc(Cl)ccc12","DB01611","Hydroxychloroquine","XXSMGPRMXLTPCZ-UHFFFAOYSA-N","[#6]1:[#6]:[#7]:[#6]2:[#6](:[#6]:1):[#6]:[#6]:[#6]:[#6]:2, [#6]1:[#6]:[#6]:[#6]2:[#6](:[#7]:1):[#6]:[#6]:[#6]:[#6]:2","P11166"
"CCN1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1","DB11404","Enrofloxacin","SPFYMRJSYKOXGV-UHFFFAOYSA-N","[#6]1:[#6]:[#7]:[#6]2:[#6](:[#6]:1):[#6]:[#6]:[#6]:[#6]:2, [#6]1:[#6]:[#6]:[#6]2:[#6](:[#7]:1):[#6]:[#6]:[#6]:[#6]:2","P11166"
"CCOC(=O)C(COC(=O)Cc1ccc(NC(=O)c2ccccc2-c2ccc(C(F)(F)F)cc2)c(C(=O)N(C)C)c1)(C(=O)OCC)c1ccccc1","DB12934","Granotapide","FPUQGCOBYOXAED-UHFFFAOYSA-N","[#6]1:[#6]:[#6]:[#6](:[#6]:[#6]:1)-[#6](=[#8])-[#7]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1","P11166"
"CCOC(=O)c1c[nH]c2cc(OCC(C)C)c(OCC(C)C)cc2c1=O","DB11378","Buquinolate","LVVXOXRUTDAKFE-UHFFFAOYSA-N","[#6]1:[#6]:[#7]:[#6]2:[#6](:[#6]:1):[#6]:[#6]:[#6]:[#6]:2, [#6]1:[#6]:[#6]:[#6]2:[#6](:[#7]:1):[#6]:[#6]:[#6]:[#6]:2","P11166"
"CCOCc1nc2c(N)nc3ccccc3c2n1CC(C)(C)O","DB06530","Resiquimod","BXNMTOQRYBFHNZ-UHFFFAOYSA-N","[#6]1:[#6]:[#7]:[#6]2:[#6](:[#6]:1):[#6]:[#6]:[#6]:[#6]:2, [#6]1:[#6]:[#6]:[#6]2:[#6](:[#7]:1):[#6]:[#6]:[#6]:[#6]:2","P11166"
"CCOc1c(Cl)cc(N2CCCCC2)cc1NC(=O)c1cc(C)c(OCCN)c(C)c1","DB07626","4-(2-aminoethoxy)-N-(3-chloro-2-ethoxy-5-piperidin-1-ylphenyl)-3,5-dimethylbenzamide","CKBBGCJYKCLKHE-UHFFFAOYSA-N","[#6]1:[#6]:[#6]:[#6](:[#6]:[#6]:1)-[#6](=[#8])-[#7]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1","P11166"
"CCOc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)C=CCN(C)C","DB05524","Pelitinib","WVUNYSQLFKLYNI-UHFFFAOYSA-N","[#6]1:[#6]:[#7]:[#6]2:[#6](:[#6]:1):[#6]:[#6]:[#6]:[#6]:2, [#6]1:[#6]:[#6]:[#6]2:[#6](:[#7]:1):[#6]:[#6]:[#6]:[#6]:2","P11166"
"CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2cc1NC(=O)C=CCN(C)C","DB13002","HKI-357","NERXPXBELDBEPZ-UHFFFAOYSA-N","[#6]1:[#6]:[#7]:[#6]2:[#6](:[#6]:1):[#6]:[#6]:[#6]:[#6]:2, [#6]1:[#6]:[#6]:[#6]2:[#6](:[#7]:1):[#6]:[#6]:[#6]:[#6]:2","P11166"
"CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4ccccn4)c(Cl)c3)c2cc1NC(=O)C=CC1CCCN1C","DB14993","Pyrotinib","SADXACCFNXBCFY-UHFFFAOYSA-N","[#6]1:[#6]:[#7]:[#6]2:[#6](:[#6]:1):[#6]:[#6]:[#6]:[#6]:2, [#6]1:[#6]:[#6]:[#6]2:[#6](:[#7]:1):[#6]:[#6]:[#6]:[#6]:2","P11166"
"CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4ccccn4)c(Cl)c3)c2cc1NC(=O)C=CCN(C)C","DB11828","Neratinib","JWNPDZNEKVCWMY-UHFFFAOYSA-N","[#6]1:[#6]:[#7]:[#6]2:[#6](:[#6]:1):[#6]:[#6]:[#6]:[#6]:2, [#6]1:[#6]:[#6]:[#6]2:[#6](:[#7]:1):[#6]:[#6]:[#6]:[#6]:2","P11166"
"CCOc1cc2ncnc(Nc3cccc(-c4csc(CO)n4)c3)c2cc1OCC","DB02848","{4-[3-(6,7-Diethoxy-Quinazolin-4-Ylamino)-Phenyl]-Thiazol-2-Yl}-Methanol","ZJESXGUODSBHSK-UHFFFAOYSA-N","[#6]1:[#6]:[#6]:[#6]2:[#7]:[#6]:[#7]:[#6]:[#6]:2:[#6]:1","P11166"
"CCOc1ccc(OCC)c(NC(=O)c2cc(C)c(OCCN)c(C)c2)c1","DB07625","4-(2-aminoethoxy)-N-(2,5-diethoxyphenyl)-3,5-dimethylbenzamide","PHTPPZCTHZHCQD-UHFFFAOYSA-N","[#6]1:[#6]:[#6]:[#6](:[#6]:[#6]:1)-[#6](=[#8])-[#7]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1","P11166"
"CC[N+](C)(CC)CCC[n+]1c(-c2ccccc2)c2cc(N)ccc2c2ccc(N)cc21","DB02166","Propidium","ZDWVWKDAWBGPDN-UHFFFAOYSA-O","[#6]1:[#6]:[#7]:[#6]2:[#6](:[#6]:1):[#6]:[#6]:[#6]:[#6]:2, [#6]1:[#6]:[#6]:[#6]2:[#6](:[#7]:1):[#6]:[#6]:[#6]:[#6]:2","P11166"
"CCc1c(C)c2c3c(Cl)cc(=O)[nH]c3ccc2n1CC(F)(F)F","DB13937","LGD-3303","OMXGOGXEWUCLFI-UHFFFAOYSA-N","[#6]1:[#6]:[#7]:[#6]2:[#6](:[#6]:1):[#6]:[#6]:[#6]:[#6]:2, [#6]1:[#6]:[#6]:[#6]2:[#6](:[#7]:1):[#6]:[#6]:[#6]:[#6]:2","P11166"
"CCc1c2c(nc3ccc(O)cc13)-c1cc3c(c(=O)n1C2)COC(=O)C3(O)CC","DB05482","7-ethyl-10-hydroxycamptothecin","FJHBVJOVLFPMQE-UHFFFAOYSA-N","[#6]1:[#6]:[#7]:[#6]2:[#6](:[#6]:1):[#6]:[#6]:[#6]:[#6]:2, [#6]1:[#6]:[#6]:[#6]2:[#6](:[#7]:1):[#6]:[#6]:[#6]:[#6]:2","P11166"
